Team,Points,Goal_Diff,Win_Rate
Man City,92,68.0,0.8333333333333334
Liverpool,91,64.0,0.7777777777777778
Tottenham,70,28.0,0.6216216216216216
Chelsea,68,21.0,0.5555555555555556
Arsenal,66,20.0,0.5555555555555556
Man United,65,13.0,0.5277777777777778
Wolves,54,2.0,0.4166666666666667
Everton,53,8.0,0.40540540540540543
Leicester,51,4.0,0.4166666666666667
Watford,50,-1.0,0.3888888888888889
West Ham,46,-9.0,0.3611111111111111
Bournemouth,45,-12.0,0.35135135135135137
Crystal Palace,43,-5.0,0.3333333333333333
Newcastle,42,-9.0,0.3055555555555556
Burnley,40,-21.0,0.2972972972972973
Southampton,38,-17.0,0.25
Brighton,35,-22.0,0.25
Cardiff,31,-36.0,0.25
Fulham,26,-42.0,0.19444444444444445
Huddersfield,14,-54.0,0.08333333333333333
